[QUOTE_DATETIME],[QUOTE_DATE],[QUOTE_TIME],[SYMBOL],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRY_TYPE],[DTE],[STRIKE],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[P_LAST],[P_SIZE],[P_BID],[P_ASK]
2023-10-02 09:30:00,2023-10-02,09:30:00,SPX,4308.27,2023-10-03,Daily,0.6,4250.0,-58.27,-0.014,0.58545,0.00036,33.76342,-4.11692,2.18091,0.54668,207,2161.3,9 x 6,2024.71,2307.11,-0.41455,0.00036,33.76342,-4.23265,-0.0,0.58064,205,2077.43,3 x 7,1915.47,2253.08
2023-10-02 09:30:00,2023-10-02,09:30:00,SPX,4308.27,2023-10-03,Daily,0.6,4255.0,-53.27,-0.012,0.57824,0.0004,33.76342,-3.6969,1.99935,0.49091,198,2160.31,3 x 20,2022.42,2307.61,-0.42176,0.0004,33.76342,-3.81277,-0.0,0.51929,169,2081.41,3 x 6,1920.42,2255.89
2023-10-02 09:30:00,2023-10-02,09:30:00,SPX,4308.27,2023-10-03,Daily,0.6,4260.0,-48.27,-0.011,0.57101,0.00045,33.76342,-3.31453,1.8165,0.44013,201,2159.39,1 x 18,2020.18,2308.18,-0.42899,0.00045,33.76342,-3.43054,-0.0,0.46344,216,2085.45,1 x 17,1925.43,2258.77
2023-10-02 09:30:00,2023-10-02,09:30:00,SPX,4308.27,2023-10-03,Daily,0.6,4265.0,-43.27,-0.01,0.56374,0.00051,33.76342,-2.96982,1.63243,0.39436,196,2158.53,3 x 12,2018.01,2308.84,-0.43626,0.00051,33.76342,-3.08596,-0.0,0.41309,199,2089.57,10 x 7,1930.53,2261.71
2023-10-02 09:30:00,2023-10-02,09:30:00,SPX,4308.27,2023-10-03,Daily,0.6,4270.0,-38.27,-0.009,0.55644,0.00058,33.76342,-2.66276,1.44722,0.35359,218,2157.75,6 x 4,2015.9,2309.57,-0.44356,0.00058,33.76342,-2.77904,-0.0,0.36823,161,2093.75,9 x 19,1935.7,2264.71
2023-10-02 09:30:00,2023-10-02,09:30:00,SPX,4308.27,2023-10-03,Daily,0.6,4275.0,-33.27,-0.008,0.54912,0.00065,33.76342,-2.39336,1.26094,0.31781,164,2157.04,6 x 12,2013.86,2310.39,-0.45088,0.00065,33.76342,-2.50977,-0.0,0.32888,180,2098.01,8 x 15,1940.95,2267.78
2023-10-02 09:30:00,2023-10-02,09:30:00,SPX,4308.27,2023-10-03,Daily,0.6,4280.0,-28.27,-0.007,0.54177,0.00073,33.76342,-2.1616,1.07368,0.28704,212,2156.4,2 x 10,2011.88,2311.29,-0.45823,0.00073,33.76342,-2.27816,-0.0,0.29503,200,2102.34,7 x 19,1946.28,2270.92
2023-10-02 09:30:00,2023-10-02,09:30:00,SPX,4308.27,2023-10-03,Daily,0.6,4285.0,-23.27,-0.005,0.53441,0.00081,33.76342,-1.96751,0.88551,0.26126,211,2155.83,7 x 9,2009.97,2312.27,-0.46559,0.00081,33.76342,-2.0842,-0.0,0.26668,180,2106.74,2 x 19,1951.68,2274.12
2023-10-02 09:30:00,2023-10-02,09:30:00,SPX,4308.27,2023-10-03,Daily,0.6,4290.0,-18.27,-0.004,0.52704,0.00089,33.76342,-1.81106,0.69651,0.24049,214,2155.33,1 x 1,2008.13,2313.32,-0.47296,0.00089,33.76342,-1.92789,-0.0,0.24383,215,2111.22,2 x 17,1957.17,2277.39
2023-10-02 09:30:00,2023-10-02,09:30:00,SPX,4308.27,2023-10-03,Daily,0.6,4295.0,-13.27,-0.003,0.51965,0.00096,33.76342,-1.69227,0.50676,0.22472,213,2154.91,10 x 4,2006.35,2314.46,-0.48035,0.00096,33.76342,-1.80924,-0.0,0.22648,186,2115.76,10 x 11,1962.72,2280.73
2023-10-02 09:30:00,2023-10-02,09:30:00,SPX,4308.27,2023-10-03,Daily,0.6,4300.0,-8.27,-0.002,0.51225,0.00102,33.76342,-1.61114,0.31634,0.21394,211,2154.56,4 x 2,2004.64,2315.68,-0.48775,0.00102,33.76342,-1.72824,-0.0,0.21463,153,2120.38,9 x 5,1968.36,2284.14
2023-10-02 09:30:00,2023-10-02,09:30:00,SPX,4308.27,2023-10-03,Daily,0.6,4305.0,-3.27,-0.001,0.50485,0.00106,33.76342,-1.56765,0.12534,0.20817,189,2154.28,9 x 18,2003.01,2316.97,-0.49515,0.00106,33.76342,-1.68489,-0.0,0.20827,187,2125.07,9 x 17,1974.07,2287.62
2023-10-02 09:30:00,2023-10-02,09:30:00,SPX,4308.27,2023-10-03,Daily,0.6,4310.0,1.73,0.0,0.49744,0.00107,33.76342,-1.56183,0.0,0.20739,200,2154.08,6 x 5,2001.44,2318.35,-0.50256,0.00107,33.76342,-1.6792,-0.06615,0.20742,161,2129.84,2 x 3,1979.86,2291.18
2023-10-02 09:30:00,2023-10-02,09:30:00,SPX,4308.27,2023-10-03,Daily,0.6,4315.0,6.73,0.002,0.49004,0.00106,33.76342,-1.59365,0.0,0.21162,213,2153.95,2 x 11,1999.94,2319.81,-0.50996,0.00106,33.76342,-1.71116,-0.25807,0.21207,182,2134.68,9 x 18,1985.73,2294.8
2023-10-02 09:30:00,2023-10-02,09:30:00,SPX,4308.27,2023-10-03,Daily,0.6,4320.0,11.73,0.003,0.48264,0.00103,33.76342,-1.66313,0.0,0.22085,175,2153.89,4 x 11,1998.52,2321.34,-0.51736,0.00103,33.76342,-1.78077,-0.45031,0.22222,185,2139.59,2 x 7,1991.67,2298.5
