,symbol,underlying_last,expire_date,expiry_type,dte,strike,strike_distance,strike_distance_pct,c_delta,c_gamma,c_vega,c_theta,c_rho,c_iv,c_volume,c_last,c_size,c_bid,c_ask,c_mid,c_spread
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4250.0,-58.27,-0.014,0.58545,0.00036,33.76342,-4.11692,2.18091,0.54668,207.0,2161.3,9 x 6,2024.71,2307.11,2165.91,282.4000000000001
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4255.0,-53.27,-0.012,0.57824,0.0004,33.76342,-3.6969,1.99935,0.49091,198.0,2160.31,3 x 20,2022.42,2307.61,2165.0150000000003,285.19000000000005
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4260.0,-48.27,-0.011,0.57101,0.00045,33.76342,-3.31453,1.8165,0.44013,201.0,2159.39,1 x 18,2020.18,2308.18,2164.18,287.9999999999998
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4265.0,-43.27,-0.01,0.56374,0.00051,33.76342,-2.96982,1.63243,0.39436,196.0,2158.53,3 x 12,2018.01,2308.84,2163.425,290.83000000000015
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4270.0,-38.27,-0.009,0.55644,0.00058,33.76342,-2.66276,1.44722,0.35359,218.0,2157.75,6 x 4,2015.9,2309.57,2162.735,293.6700000000001
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4275.0,-33.27,-0.008,0.54912,0.00065,33.76342,-2.39336,1.26094,0.31781,164.0,2157.04,6 x 12,2013.86,2310.39,2162.125,296.53
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4280.0,-28.27,-0.007,0.54177,0.00073,33.76342,-2.1616,1.07368,0.28704,212.0,2156.4,2 x 10,2011.88,2311.29,2161.585,299.40999999999985
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4285.0,-23.27,-0.005,0.53441,0.00081,33.76342,-1.96751,0.88551,0.26126,211.0,2155.83,7 x 9,2009.97,2312.27,2161.12,302.29999999999995
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4290.0,-18.27,-0.004,0.52704,0.00089,33.76342,-1.81106,0.69651,0.24049,214.0,2155.33,1 x 1,2008.13,2313.32,2160.7250000000004,305.19000000000005
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4295.0,-13.27,-0.003,0.51965,0.00096,33.76342,-1.69227,0.50676,0.22472,213.0,2154.91,10 x 4,2006.35,2314.46,2160.4049999999997,308.1100000000001
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4300.0,-8.27,-0.002,0.51225,0.00102,33.76342,-1.61114,0.31634,0.21394,211.0,2154.56,4 x 2,2004.64,2315.68,2160.16,311.03999999999974
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4305.0,-3.27,-0.001,0.50485,0.00106,33.76342,-1.56765,0.12534,0.20817,189.0,2154.28,9 x 18,2003.01,2316.97,2159.99,313.9599999999998
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4310.0,1.73,0.0,0.49744,0.00107,33.76342,-1.56183,0.0,0.20739,200.0,2154.08,6 x 5,2001.44,2318.35,2159.895,316.90999999999985
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4315.0,6.73,0.002,0.49004,0.00106,33.76342,-1.59365,0.0,0.21162,213.0,2153.95,2 x 11,1999.94,2319.81,2159.875,319.8699999999999
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4320.0,11.73,0.003,0.48264,0.00103,33.76342,-1.66313,0.0,0.22085,175.0,2153.89,4 x 11,1998.52,2321.34,2159.9300000000003,322.82000000000016
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4325.0,16.73,0.004,0.47525,0.00098,33.76342,-1.77026,0.0,0.23507,192.0,2153.91,6 x 20,1997.17,2322.95,2160.06,325.77999999999975
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4330.0,21.73,0.005,0.46787,0.00091,33.76342,-1.91505,0.0,0.2543,173.0,2154.0,6 x 10,1995.88,2324.64,2160.26,328.75999999999976
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4335.0,26.73,0.006,0.4605,0.00084,33.76342,-2.09748,0.0,0.27852,222.0,2154.16,1 x 14,1994.67,2326.4,2160.535,331.73
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4340.0,31.73,0.007,0.45316,0.00076,33.76342,-2.31758,0.0,0.30775,180.0,2154.4,2 x 19,1993.54,2328.24,2160.89,334.6999999999998
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4345.0,36.73,0.009,0.44583,0.00069,33.76342,-2.57532,0.0,0.34198,192.0,2154.71,3 x 12,1992.47,2330.15,2161.31,337.68000000000006
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4350.0,41.73,0.01,0.43852,0.00063,33.76342,-2.87072,0.0,0.3812,195.0,2155.09,7 x 12,1991.48,2332.14,2161.81,340.65999999999985
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4200.0,-108.27,-0.025,0.56572,6e-05,81.90443,-4.31404,9.59553,1.38966,152.0,2171.02,3 x 19,2020.62,2332.62,2176.62,312.0
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4210.0,-98.27,-0.023,0.55971,7e-05,81.90443,-3.67283,8.73894,1.18311,118.0,2168.9,5 x 2,2017.52,2331.65,2174.585,314.1300000000001
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4220.0,-88.27,-0.02,0.55368,8e-05,81.90443,-3.09372,7.87559,0.99656,122.0,2166.89,1 x 19,2014.52,2330.8,2172.66,316.2800000000002
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4230.0,-78.27,-0.018,0.54764,0.0001,81.90443,-2.57669,7.00573,0.83001,139.0,2165.0,2 x 11,2011.63,2330.07,2170.8500000000004,318.44000000000005
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4240.0,-68.27,-0.016,0.54158,0.00013,81.90443,-2.12174,6.1296,0.68347,145.0,2163.22,1 x 13,2008.84,2329.46,2169.15,320.6200000000001
