,symbol,underlying_last,expire_date,expiry_type,dte,strike,strike_distance,strike_distance_pct,c_delta,c_gamma,c_vega,c_theta,c_rho,c_iv,c_volume,c_last,c_size,c_bid,c_ask,p_delta,p_gamma,p_vega,p_theta,p_rho,p_iv,p_volume,p_last,p_size,p_bid,p_ask
2023-10-02,SPX,4308.27,2023-10-03,Daily,0.6,4250.0,-58.27,-0.014,0.58545,0.00036,33.76342,-4.11692,2.18091,0.54668,207.0,2161.3,9 x 6,2024.71,2307.11,-0.41455,0.00036,33.76342,-4.23265,-0.0,0.58064,205.0,2077.43,3 x 7,1915.47,2253.08
2023-10-02,SPX,4308.27,2023-10-03,Daily,0.6,4255.0,-53.27,-0.012,0.57824,0.0004,33.76342,-3.6969,1.99935,0.49091,198.0,2160.31,3 x 20,2022.42,2307.61,-0.42176,0.0004,33.76342,-3.81277,-0.0,0.51929,169.0,2081.41,3 x 6,1920.42,2255.89
2023-10-02,SPX,4308.27,2023-10-03,Daily,0.6,4260.0,-48.27,-0.011,0.57101,0.00045,33.76342,-3.31453,1.8165,0.44013,201.0,2159.39,1 x 18,2020.18,2308.18,-0.42899,0.00045,33.76342,-3.43054,-0.0,0.46344,216.0,2085.45,1 x 17,1925.43,2258.77
2023-10-02,SPX,4308.27,2023-10-03,Daily,0.6,4265.0,-43.27,-0.01,0.56374,0.00051,33.76342,-2.96982,1.63243,0.39436,196.0,2158.53,3 x 12,2018.01,2308.84,-0.43626,0.00051,33.76342,-3.08596,-0.0,0.41309,199.0,2089.57,10 x 7,1930.53,2261.71
2023-10-02,SPX,4308.27,2023-10-03,Daily,0.6,4270.0,-38.27,-0.009,0.55644,0.00058,33.76342,-2.66276,1.44722,0.35359,218.0,2157.75,6 x 4,2015.9,2309.57,-0.44356,0.00058,33.76342,-2.77904,-0.0,0.36823,161.0,2093.75,9 x 19,1935.7,2264.71
2023-10-02,SPX,4308.27,2023-10-03,Daily,0.6,4275.0,-33.27,-0.008,0.54912,0.00065,33.76342,-2.39336,1.26094,0.31781,164.0,2157.04,6 x 12,2013.86,2310.39,-0.45088,0.00065,33.76342,-2.50977,-0.0,0.32888,180.0,2098.01,8 x 15,1940.95,2267.78
2023-10-02,SPX,4308.27,2023-10-03,Daily,0.6,4280.0,-28.27,-0.007,0.54177,0.00073,33.76342,-2.1616,1.07368,0.28704,212.0,2156.4,2 x 10,2011.88,2311.29,-0.45823,0.00073,33.76342,-2.27816,-0.0,0.29503,200.0,2102.34,7 x 19,1946.28,2270.92
2023-10-02,SPX,4308.27,2023-10-03,Daily,0.6,4285.0,-23.27,-0.005,0.53441,0.00081,33.76342,-1.96751,0.88551,0.26126,211.0,2155.83,7 x 9,2009.97,2312.27,-0.46559,0.00081,33.76342,-2.0842,-0.0,0.26668,180.0,2106.74,2 x 19,1951.68,2274.12
2023-10-02,SPX,4308.27,2023-10-03,Daily,0.6,4290.0,-18.27,-0.004,0.52704,0.00089,33.76342,-1.81106,0.69651,0.24049,214.0,2155.33,1 x 1,2008.13,2313.32,-0.47296,0.00089,33.76342,-1.92789,-0.0,0.24383,215.0,2111.22,2 x 17,1957.17,2277.39
2023-10-02,SPX,4308.27,2023-10-03,Daily,0.6,4295.0,-13.27,-0.003,0.51965,0.00096,33.76342,-1.69227,0.50676,0.22472,213.0,2154.91,10 x 4,2006.35,2314.46,-0.48035,0.00096,33.76342,-1.80924,-0.0,0.22648,186.0,2115.76,10 x 11,1962.72,2280.73
2023-10-02,SPX,4308.27,2023-10-03,Daily,0.6,4300.0,-8.27,-0.002,0.51225,0.00102,33.76342,-1.61114,0.31634,0.21394,211.0,2154.56,4 x 2,2004.64,2315.68,-0.48775,0.00102,33.76342,-1.72824,-0.0,0.21463,153.0,2120.38,9 x 5,1968.36,2284.14
2023-10-02,SPX,4308.27,2023-10-03,Daily,0.6,4305.0,-3.27,-0.001,0.50485,0.00106,33.76342,-1.56765,0.12534,0.20817,189.0,2154.28,9 x 18,2003.01,2316.97,-0.49515,0.00106,33.76342,-1.68489,-0.0,0.20827,187.0,2125.07,9 x 17,1974.07,2287.62
2023-10-02,SPX,4308.27,2023-10-03,Daily,0.6,4310.0,1.73,0.0,0.49744,0.00107,33.76342,-1.56183,0.0,0.20739,200.0,2154.08,6 x 5,2001.44,2318.35,-0.50256,0.00107,33.76342,-1.6792,-0.06615,0.20742,161.0,2129.84,2 x 3,1979.86,2291.18
2023-10-02,SPX,4308.27,2023-10-03,Daily,0.6,4315.0,6.73,0.002,0.49004,0.00106,33.76342,-1.59365,0.0,0.21162,213.0,2153.95,2 x 11,1999.94,2319.81,-0.50996,0.00106,33.76342,-1.71116,-0.25807,0.21207,182.0,2134.68,9 x 18,1985.73,2294.8
2023-10-02,SPX,4308.27,2023-10-03,Daily,0.6,4320.0,11.73,0.003,0.48264,0.00103,33.76342,-1.66313,0.0,0.22085,175.0,2153.89,4 x 11,1998.52,2321.34,-0.51736,0.00103,33.76342,-1.78077,-0.45031,0.22222,185.0,2139.59,2 x 7,1991.67,2298.5
2023-10-02,SPX,4308.27,2023-10-03,Daily,0.6,4325.0,16.73,0.004,0.47525,0.00098,33.76342,-1.77026,0.0,0.23507,192.0,2153.91,6 x 20,1997.17,2322.95,-0.52475,0.00098,33.76342,-1.88804,-0.6428,0.23787,178.0,2144.58,6 x 11,1997.69,2302.28
2023-10-02,SPX,4308.27,2023-10-03,Daily,0.6,4330.0,21.73,0.005,0.46787,0.00091,33.76342,-1.91505,0.0,0.2543,173.0,2154.0,6 x 10,1995.88,2324.64,-0.53213,0.00091,33.76342,-2.03296,-0.83546,0.25902,221.0,2149.64,5 x 4,2003.78,2306.12
2023-10-02,SPX,4308.27,2023-10-03,Daily,0.6,4335.0,26.73,0.006,0.4605,0.00084,33.76342,-2.09748,0.0,0.27852,222.0,2154.16,1 x 14,1994.67,2326.4,-0.5395,0.00084,33.76342,-2.21554,-1.02819,0.28567,197.0,2154.78,4 x 9,2009.94,2310.04
2023-10-02,SPX,4308.27,2023-10-03,Daily,0.6,4340.0,31.73,0.007,0.45316,0.00076,33.76342,-2.31758,0.0,0.30775,180.0,2154.4,2 x 19,1993.54,2328.24,-0.54684,0.00076,33.76342,-2.43577,-1.22091,0.31781,183.0,2159.98,8 x 3,2016.18,2314.04
2023-10-02,SPX,4308.27,2023-10-03,Daily,0.6,4345.0,36.73,0.009,0.44583,0.00069,33.76342,-2.57532,0.0,0.34198,192.0,2154.71,3 x 12,1992.47,2330.15,-0.55417,0.00069,33.76342,-2.69365,-1.41355,0.35546,171.0,2165.26,6 x 5,2022.5,2318.11
2023-10-02,SPX,4308.27,2023-10-03,Daily,0.6,4350.0,41.73,0.01,0.43852,0.00063,33.76342,-2.87072,0.0,0.3812,195.0,2155.09,7 x 12,1991.48,2332.14,-0.56148,0.00063,33.76342,-2.98918,-1.60601,0.39861,201.0,2170.62,3 x 16,2028.88,2322.25
2023-10-02,SPX,4308.27,2023-10-06,Weekly,3.6,4200.0,-108.27,-0.025,0.56572,6e-05,81.90443,-4.31404,9.59553,1.38966,152.0,2171.02,3 x 19,2020.62,2332.62,-0.43428,6e-05,81.90443,-4.42503,-0.0,1.50689,112.0,1914.07,2 x 9,1759.94,2081.7
2023-10-02,SPX,4308.27,2023-10-06,Weekly,3.6,4210.0,-98.27,-0.023,0.55971,7e-05,81.90443,-3.67283,8.73894,1.18311,118.0,2168.9,5 x 2,2017.52,2331.65,-0.44029,7e-05,81.90443,-3.78409,-0.0,1.27969,127.0,1921.6,2 x 11,1767.83,2088.73
2023-10-02,SPX,4308.27,2023-10-06,Weekly,3.6,4220.0,-88.27,-0.02,0.55368,8e-05,81.90443,-3.09372,7.87559,0.99656,122.0,2166.89,1 x 19,2014.52,2330.8,-0.44632,8e-05,81.90443,-3.20524,-0.0,1.07448,126.0,1929.23,8 x 19,1775.84,2095.87
2023-10-02,SPX,4308.27,2023-10-06,Weekly,3.6,4230.0,-78.27,-0.018,0.54764,0.0001,81.90443,-2.57669,7.00573,0.83001,139.0,2165.0,2 x 11,2011.63,2330.07,-0.45236,0.0001,81.90443,-2.68847,-0.0,0.89128,122.0,1936.98,5 x 18,1783.97,2103.12
2023-10-02,SPX,4308.27,2023-10-06,Weekly,3.6,4240.0,-68.27,-0.016,0.54158,0.00013,81.90443,-2.12174,6.1296,0.68347,145.0,2163.22,1 x 13,2008.84,2329.46,-0.45842,0.00013,81.90443,-2.23379,-0.0,0.73008,143.0,1944.85,3 x 12,1792.21,2110.48
2023-10-02,SPX,4308.27,2023-10-06,Weekly,3.6,4250.0,-58.27,-0.014,0.53551,0.00016,81.90443,-1.72889,5.24743,0.55692,164.0,2161.55,2 x 19,2006.16,2328.97,-0.46449,0.00016,81.90443,-1.8412,-0.0,0.59088,150.0,1952.83,9 x 15,1800.57,2117.95
2023-10-02,SPX,4308.27,2023-10-06,Weekly,3.6,4260.0,-48.27,-0.011,0.52944,0.0002,81.90443,-1.39812,4.35949,0.45037,117.0,2160.0,7 x 11,2003.59,2328.61,-0.47056,0.0002,81.90443,-1.5107,-0.0,0.47367,128.0,1960.92,3 x 18,1809.05,2125.54
2023-10-02,SPX,4308.27,2023-10-06,Weekly,3.6,4270.0,-38.27,-0.009,0.52335,0.00024,81.90443,-1.12944,3.46602,0.36382,119.0,2158.56,9 x 8,2001.13,2328.38,-0.47665,0.00024,81.90443,-1.24229,-0.0,0.37847,151.0,1969.13,2 x 10,1817.64,2133.24
2023-10-02,SPX,4308.27,2023-10-06,Weekly,3.6,4280.0,-28.27,-0.007,0.51725,0.0003,81.90443,-0.92285,2.56728,0.29727,121.0,2157.24,7 x 3,1998.77,2328.27,-0.48275,0.0003,81.90443,-1.03596,-0.0,0.30527,142.0,1977.45,8 x 10,1826.35,2141.05
