,symbol,underlying_last,expire_date,expiry_type,dte,strike,strike_distance,strike_distance_pct,p_delta,p_gamma,p_vega,p_theta,p_rho,p_iv,p_volume,p_last,p_size,p_bid,p_ask,p_mid,p_spread
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4250.0,-58.27,-0.014,-0.41455,0.00036,33.76342,-4.23265,-0.0,0.58064,205.0,2077.43,3 x 7,1915.47,2253.08,2084.275,337.6099999999999
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4255.0,-53.27,-0.012,-0.42176,0.0004,33.76342,-3.81277,-0.0,0.51929,169.0,2081.41,3 x 6,1920.42,2255.89,2088.1549999999997,335.4699999999998
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4260.0,-48.27,-0.011,-0.42899,0.00045,33.76342,-3.43054,-0.0,0.46344,216.0,2085.45,1 x 17,1925.43,2258.77,2092.1,333.3399999999999
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4265.0,-43.27,-0.01,-0.43626,0.00051,33.76342,-3.08596,-0.0,0.41309,199.0,2089.57,10 x 7,1930.53,2261.71,2096.12,331.18000000000006
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4270.0,-38.27,-0.009,-0.44356,0.00058,33.76342,-2.77904,-0.0,0.36823,161.0,2093.75,9 x 19,1935.7,2264.71,2100.205,329.01
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4275.0,-33.27,-0.008,-0.45088,0.00065,33.76342,-2.50977,-0.0,0.32888,180.0,2098.01,8 x 15,1940.95,2267.78,2104.3650000000002,326.83000000000015
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4280.0,-28.27,-0.007,-0.45823,0.00073,33.76342,-2.27816,-0.0,0.29503,200.0,2102.34,7 x 19,1946.28,2270.92,2108.6,324.6400000000001
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4285.0,-23.27,-0.005,-0.46559,0.00081,33.76342,-2.0842,-0.0,0.26668,180.0,2106.74,2 x 19,1951.68,2274.12,2112.9,322.4399999999998
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4290.0,-18.27,-0.004,-0.47296,0.00089,33.76342,-1.92789,-0.0,0.24383,215.0,2111.22,2 x 17,1957.17,2277.39,2117.2799999999997,320.2199999999998
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4295.0,-13.27,-0.003,-0.48035,0.00096,33.76342,-1.80924,-0.0,0.22648,186.0,2115.76,10 x 11,1962.72,2280.73,2121.725,318.01
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4300.0,-8.27,-0.002,-0.48775,0.00102,33.76342,-1.72824,-0.0,0.21463,153.0,2120.38,9 x 5,1968.36,2284.14,2126.25,315.78
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4305.0,-3.27,-0.001,-0.49515,0.00106,33.76342,-1.68489,-0.0,0.20827,187.0,2125.07,9 x 17,1974.07,2287.62,2130.845,313.54999999999995
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4310.0,1.73,0.0,-0.50256,0.00107,33.76342,-1.6792,-0.06615,0.20742,161.0,2129.84,2 x 3,1979.86,2291.18,2135.52,311.31999999999994
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4315.0,6.73,0.002,-0.50996,0.00106,33.76342,-1.71116,-0.25807,0.21207,182.0,2134.68,9 x 18,1985.73,2294.8,2140.2650000000003,309.07000000000016
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4320.0,11.73,0.003,-0.51736,0.00103,33.76342,-1.78077,-0.45031,0.22222,185.0,2139.59,2 x 7,1991.67,2298.5,2145.085,306.8299999999999
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4325.0,16.73,0.004,-0.52475,0.00098,33.76342,-1.88804,-0.6428,0.23787,178.0,2144.58,6 x 11,1997.69,2302.28,2149.985,304.59000000000015
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4330.0,21.73,0.005,-0.53213,0.00091,33.76342,-2.03296,-0.83546,0.25902,221.0,2149.64,5 x 4,2003.78,2306.12,2154.95,302.3399999999999
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4335.0,26.73,0.006,-0.5395,0.00084,33.76342,-2.21554,-1.02819,0.28567,197.0,2154.78,4 x 9,2009.94,2310.04,2159.99,300.0999999999999
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4340.0,31.73,0.007,-0.54684,0.00076,33.76342,-2.43577,-1.22091,0.31781,183.0,2159.98,8 x 3,2016.18,2314.04,2165.11,297.8599999999999
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4345.0,36.73,0.009,-0.55417,0.00069,33.76342,-2.69365,-1.41355,0.35546,171.0,2165.26,6 x 5,2022.5,2318.11,2170.3050000000003,295.6100000000001
2023-10-03,SPX,4308.27,2023-10-03,Daily,0.6,4350.0,41.73,0.01,-0.56148,0.00063,33.76342,-2.98918,-1.60601,0.39861,201.0,2170.62,3 x 16,2028.88,2322.25,2175.565,293.3699999999999
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4200.0,-108.27,-0.025,-0.43428,6e-05,81.90443,-4.42503,-0.0,1.50689,112.0,1914.07,2 x 9,1759.94,2081.7,1920.82,321.75999999999976
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4210.0,-98.27,-0.023,-0.44029,7e-05,81.90443,-3.78409,-0.0,1.27969,127.0,1921.6,2 x 11,1767.83,2088.73,1928.28,320.9000000000001
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4220.0,-88.27,-0.02,-0.44632,8e-05,81.90443,-3.20524,-0.0,1.07448,126.0,1929.23,8 x 19,1775.84,2095.87,1935.855,320.03
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4230.0,-78.27,-0.018,-0.45236,0.0001,81.90443,-2.68847,-0.0,0.89128,122.0,1936.98,5 x 18,1783.97,2103.12,1943.545,319.14999999999986
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4240.0,-68.27,-0.016,-0.45842,0.00013,81.90443,-2.23379,-0.0,0.73008,143.0,1944.85,3 x 12,1792.21,2110.48,1951.345,318.27
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4250.0,-58.27,-0.014,-0.46449,0.00016,81.90443,-1.8412,-0.0,0.59088,150.0,1952.83,9 x 15,1800.57,2117.95,1959.2599999999998,317.3799999999999
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4260.0,-48.27,-0.011,-0.47056,0.0002,81.90443,-1.5107,-0.0,0.47367,128.0,1960.92,3 x 18,1809.05,2125.54,1967.295,316.49
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4270.0,-38.27,-0.009,-0.47665,0.00024,81.90443,-1.24229,-0.0,0.37847,151.0,1969.13,2 x 10,1817.64,2133.24,1975.44,315.5999999999997
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4280.0,-28.27,-0.007,-0.48275,0.0003,81.90443,-1.03596,-0.0,0.30527,142.0,1977.45,8 x 10,1826.35,2141.05,1983.7,314.7000000000003
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4290.0,-18.27,-0.004,-0.48885,0.00036,81.90443,-0.89172,-0.0,0.25406,140.0,1985.9,10 x 16,1835.19,2148.98,1992.085,313.78999999999996
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4300.0,-8.27,-0.002,-0.49495,0.00041,81.90443,-0.80957,-0.0,0.22486,114.0,1994.45,6 x 18,1844.13,2157.03,2000.5800000000002,312.9000000000001
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4310.0,1.73,0.0,-0.50105,0.00042,81.90443,-0.78951,-0.15788,0.21766,150.0,2003.13,9 x 10,1853.2,2165.19,2009.1950000000002,311.99
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4320.0,11.73,0.003,-0.50716,0.0004,81.90443,-0.83153,-1.07502,0.23246,148.0,2011.92,1 x 2,1862.39,2173.46,2017.9250000000002,311.06999999999994
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4330.0,21.73,0.005,-0.51326,0.00035,81.90443,-0.93564,-1.99609,0.26925,148.0,2020.84,3 x 2,1871.7,2181.86,2026.7800000000002,310.1600000000001
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4340.0,31.73,0.007,-0.51936,0.0003,81.90443,-1.10184,-2.9208,0.32805,137.0,2029.87,10 x 8,1881.12,2190.37,2035.745,309.25
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4350.0,41.73,0.01,-0.52545,0.00024,81.90443,-1.33013,-3.84888,0.40885,138.0,2039.02,8 x 8,1890.67,2199.0,2044.835,308.3299999999999
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4360.0,51.73,0.012,-0.53154,0.0002,81.90443,-1.62051,-4.78006,0.51164,128.0,2048.28,6 x 15,1900.34,2207.75,2054.045,307.4100000000001
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4370.0,61.73,0.014,-0.53761,0.00016,81.90443,-1.97297,-5.71404,0.63644,149.0,2057.67,1 x 19,1910.12,2216.62,2063.37,306.5
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4380.0,71.73,0.017,-0.54367,0.00013,81.90443,-2.38752,-6.65054,0.78324,128.0,2067.17,1 x 8,1920.02,2225.6,2072.81,305.5799999999999
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4390.0,81.73,0.019,-0.54973,0.00011,81.90443,-2.86416,-7.58929,0.95204,116.0,2076.79,3 x 15,1930.04,2234.7,2082.37,304.65999999999985
2023-10-06,SPX,4308.27,2023-10-06,Weekly,3.6,4400.0,91.73,0.021,-0.55576,9e-05,81.90443,-3.40289,-8.53001,1.14283,124.0,2086.53,3 x 20,1940.18,2243.92,2092.05,303.74
2023-10-21,SPX,4308.27,2023-10-21,Monthly,18.6,4100.0,-208.27,-0.048,-0.44421,1e-05,185.87677,-6.35445,-0.0,5.01096,26.0,1300.29,7 x 3,1169.77,1445.39,1307.58,275.6200000000001
2023-10-21,SPX,4308.27,2023-10-21,Monthly,18.6,4125.0,-183.27,-0.043,-0.45086,1e-05,185.87677,-5.01601,-0.0,3.93421,28.0,1314.02,8 x 12,1182.82,1459.77,1321.295,276.95000000000005
2023-10-21,SPX,4308.27,2023-10-21,Monthly,18.6,4150.0,-158.27,-0.037,-0.45753,1e-05,185.87677,-3.84856,-0.0,2.99495,27.0,1328.0,9 x 10,1196.12,1474.42,1335.27,278.3000000000002
2023-10-21,SPX,4308.27,2023-10-21,Monthly,18.6,4175.0,-133.27,-0.031,-0.46421,2e-05,185.87677,-2.85209,-0.0,2.19319,27.0,1342.25,9 x 13,1209.68,1489.34,1349.51,279.65999999999985
2023-10-21,SPX,4308.27,2023-10-21,Monthly,18.6,4200.0,-108.27,-0.025,-0.47091,3e-05,185.87677,-2.02662,-0.0,1.52893,28.0,1356.76,4 x 18,1223.5,1504.53,1364.0149999999999,281.03
2023-10-21,SPX,4308.27,2023-10-21,Monthly,18.6,4225.0,-83.27,-0.019,-0.47761,4e-05,185.87677,-1.37214,-0.0,1.00218,28.0,1371.54,2 x 7,1237.58,1520.01,1378.795,282.43000000000006
2023-10-21,SPX,4308.27,2023-10-21,Monthly,18.6,4250.0,-58.27,-0.014,-0.48433,7e-05,185.87677,-0.88864,-0.0,0.61292,33.0,1386.6,7 x 17,1251.92,1535.76,1393.8400000000001,283.8399999999999
2023-10-21,SPX,4308.27,2023-10-21,Monthly,18.6,4275.0,-33.27,-0.008,-0.49105,0.00011,185.87677,-0.57613,-0.0,0.36116,31.0,1401.93,6 x 1,1266.53,1551.8,1409.165,285.27
2023-10-21,SPX,4308.27,2023-10-21,Monthly,18.6,4300.0,-8.27,-0.002,-0.49777,0.00016,185.87677,-0.43462,-0.0,0.24691,29.0,1417.53,10 x 14,1281.41,1568.12,1424.7649999999999,286.7099999999998
2023-10-21,SPX,4308.27,2023-10-21,Monthly,18.6,4325.0,16.73,0.004,-0.5045,0.00015,185.87677,-0.46409,-3.00555,0.27015,29.0,1433.42,6 x 10,1296.56,1584.73,1440.645,288.1700000000001
2023-10-21,SPX,4308.27,2023-10-21,Monthly,18.6,4350.0,41.73,0.01,-0.51122,0.0001,185.87677,-0.66455,-7.54016,0.43089,28.0,1449.58,8 x 20,1311.98,1601.62,1456.8,289.6399999999999
2023-10-21,SPX,4308.27,2023-10-21,Monthly,18.6,4375.0,66.73,0.015,-0.51794,6e-05,185.87677,-1.036,-12.12396,0.72913,26.0,1466.03,8 x 11,1327.67,1618.81,1473.24,291.1399999999999
2023-10-21,SPX,4308.27,2023-10-21,Monthly,18.6,4400.0,91.73,0.021,-0.52465,4e-05,185.87677,-1.57844,-16.75525,1.16488,32.0,1482.76,10 x 2,1343.64,1636.29,1489.9650000000001,292.64999999999986
2023-10-21,SPX,4308.27,2023-10-21,Monthly,18.6,4425.0,116.73,0.027,-0.53136,3e-05,185.87677,-2.29187,-21.43229,1.73812,31.0,1499.78,3 x 11,1359.88,1654.06,1506.97,294.17999999999984
2023-10-21,SPX,4308.27,2023-10-21,Monthly,18.6,4450.0,141.73,0.033,-0.53805,2e-05,185.87677,-3.17629,-26.15334,2.44886,23.0,1517.07,10 x 7,1376.4,1672.12,1524.26,295.7199999999998
2023-10-21,SPX,4308.27,2023-10-21,Monthly,18.6,4475.0,166.73,0.039,-0.54473,1e-05,185.87677,-4.2317,-30.91662,3.2971,32.0,1534.66,5 x 3,1393.2,1690.48,1541.8400000000001,297.28
2023-10-21,SPX,4308.27,2023-10-21,Monthly,18.6,4500.0,191.73,0.045,-0.55139,1e-05,185.87677,-5.45809,-35.72032,4.28285,32.0,1552.53,1 x 4,1410.28,1709.13,1559.705,298.85000000000014
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4250.0,-46.29,-0.011,-0.43165,0.00048,33.65044,-3.28174,-0.0,0.44277,180.0,2081.2,4 x 5,1921.98,2253.6,2087.79,331.6199999999999
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4255.0,-41.29,-0.01,-0.43896,0.00054,33.65044,-2.95286,-0.0,0.3946,183.0,2085.34,2 x 16,1927.1,2256.57,2091.835,329.47000000000025
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4260.0,-36.29,-0.008,-0.44629,0.00061,33.65044,-2.66154,-0.0,0.35194,205.0,2089.55,5 x 1,1932.31,2259.59,2095.95,327.2800000000002
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4265.0,-31.29,-0.007,-0.45364,0.00068,33.65044,-2.4078,-0.0,0.31477,175.0,2093.84,2 x 16,1937.59,2262.69,2100.14,325.10000000000014
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4270.0,-26.29,-0.006,-0.46102,0.00076,33.65044,-2.19162,-0.0,0.28311,183.0,2098.19,4 x 14,1942.94,2265.85,2104.395,322.90999999999985
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4275.0,-21.29,-0.005,-0.46841,0.00084,33.65044,-2.01302,-0.0,0.25694,160.0,2102.62,10 x 8,1948.38,2269.07,2108.7250000000004,320.69000000000005
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4280.0,-16.29,-0.004,-0.47582,0.00092,33.65044,-1.87198,-0.0,0.23627,150.0,2107.12,3 x 4,1953.89,2272.37,2113.13,318.4799999999998
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4285.0,-11.29,-0.003,-0.48323,0.00099,33.65044,-1.76852,-0.0,0.22111,208.0,2111.7,4 x 20,1959.48,2275.74,2117.6099999999997,316.25999999999976
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4290.0,-6.29,-0.001,-0.49066,0.00104,33.65044,-1.70262,-0.0,0.21144,194.0,2116.35,9 x 11,1965.15,2279.18,2122.165,314.02999999999975
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4295.0,-1.29,-0.0,-0.49809,0.00107,33.65044,-1.6743,-0.0,0.20727,202.0,2121.07,6 x 10,1970.89,2282.69,2126.79,311.79999999999995
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4300.0,3.71,0.001,-0.50552,0.00108,33.65044,-1.68355,-0.14227,0.20861,157.0,2125.86,5 x 7,1976.71,2286.27,2131.49,309.55999999999995
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4305.0,8.71,0.002,-0.51294,0.00106,33.65044,-1.73036,-0.33422,0.21544,221.0,2130.73,7 x 5,1982.61,2289.92,2136.265,307.3100000000002
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4310.0,13.71,0.003,-0.52036,0.00101,33.65044,-1.81475,-0.52646,0.22777,188.0,2135.68,7 x 10,1988.58,2293.65,2141.115,305.07000000000016
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4315.0,18.71,0.004,-0.52778,0.00095,33.65044,-1.93671,-0.71892,0.24561,215.0,2140.69,1 x 14,1994.63,2297.45,2146.04,302.8199999999997
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4320.0,23.71,0.006,-0.53518,0.00088,33.65044,-2.09623,-0.9115,0.26894,189.0,2145.78,9 x 15,2000.75,2301.33,2151.04,300.5799999999999
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4325.0,28.71,0.007,-0.54256,0.00081,33.65044,-2.29333,-1.10413,0.29778,163.0,2150.95,4 x 9,2006.95,2305.28,2156.1150000000002,298.33000000000015
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4330.0,33.71,0.008,-0.54993,0.00074,33.65044,-2.528,-1.29671,0.33211,217.0,2156.19,4 x 18,2013.22,2309.3,2161.26,296.08000000000015
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4335.0,38.71,0.009,-0.55727,0.00067,33.65044,-2.80024,-1.48917,0.37194,178.0,2161.5,7 x 12,2019.57,2313.41,2166.49,293.8399999999999
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4340.0,43.71,0.01,-0.56459,0.0006,33.65044,-3.11004,-1.68142,0.41728,180.0,2166.88,1 x 14,2025.98,2317.58,2171.7799999999997,291.5999999999999
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4345.0,48.71,0.011,-0.57188,0.00055,33.65044,-3.45742,-1.87338,0.46811,219.0,2172.34,6 x 8,2032.47,2321.83,2177.15,289.3599999999999
2023-10-03,SPX,4296.29,2023-10-03,Daily,0.6,4350.0,53.71,0.013,-0.57914,0.00049,33.65044,-3.84237,-2.06497,0.52444,179.0,2177.86,7 x 4,2039.02,2326.16,2182.59,287.1399999999999
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4200.0,-96.29,-0.022,-0.44132,7e-05,81.66871,-3.6543,-0.0,1.23717,117.0,1917.58,10 x 5,1764.31,2084.16,1924.235,319.8499999999999
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4210.0,-86.29,-0.02,-0.44737,9e-05,81.66871,-3.0893,-0.0,1.03634,138.0,1925.23,10 x 14,1772.34,2091.32,1931.83,318.98000000000025
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4220.0,-76.29,-0.018,-0.45343,0.00011,81.66871,-2.58622,-0.0,0.85751,162.0,1933.01,4 x 20,1780.48,2098.59,1939.535,318.1100000000001
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4230.0,-66.29,-0.015,-0.45951,0.00013,81.66871,-2.14507,-0.0,0.70067,110.0,1940.89,9 x 1,1788.75,2105.97,1947.36,317.2199999999998
2023-10-06,SPX,4296.29,2023-10-06,Weekly,3.6,4240.0,-56.29,-0.013,-0.46559,0.00016,81.66871,-1.76583,-0.0,0.56584,140.0,1948.89,7 x 15,1797.13,2113.47,1955.3,316.3399999999997
